script,"# of fonts on GF as of 2024, just FYI",stroke_contrast_glyphs
Latn,,"o,O"
Arab,35,"ه,٥"
Hira,16,
Deva,14,०
Jpan,14,
Kore,13,ㅇ
Thai,8,๐
Hant,8,
Hebr,7,0
Telu,6,౦
Guru,5,
Knda,5,
Taml,5,
Khmr,5,
Hans,5,
Sinh,4,
Mlym,4,
Beng,4,
Ethi,3,
Adlm,3,
Gujr,3,
Orya,3,
Laoo,3,
Tfng,2,
Talu,2,
Kali,2,
Lisu,2,
Lepc,2,
Limb,2,
Gong,2,
Armn,2,
Bali,2,
Geor,2,
Gran,2,
Khoj,2,
Mymr,2,
Nkoo,2,
Syrc,2,
Tavt,2,
Vith,2,
Yiii,2,
Zinh,1,
Hluw,1,
Avst,1,
Bass,1,
Batk,1,
Bhks,1,
Brah,1,
Bugi,1,
Buhd,1,
Cans,1,
Cari,1,
Cakm,1,
Cham,1,
Cher,1,
Chrs,1,
Copt,1,
Xsux,1,
Cprt,1,
Dsrt,1,
Dupl,1,
Egyp,1,
Elba,1,
Glag,1,
Goth,1,
Rohg,1,
Hano,1,
Hatr,1,
Armi,1,
Phli,1,
Prti,1,
Java,1,
Kthi,1,
Kawi,1,
Khar,1,
Sind,1,
Lina,1,
Linb,1,
Lydi,1,
Mahj,1,
Mand,1,
Mani,1,
Marc,1,
Gonm,1,
Medf,1,
Mtei,1,
Mend,1,
Mero,1,
Plrd,1,
Modi,1,
Mong,1,
Mroo,1,
Mult,1,
Nbat,1,
Nagm,1,
Nand,1,
Newa,1,
Ogam,1,
Olck,1,
Ital,1,
Narb,1,
Perm,1,
Xpeo,1,
Sogo,1,
Sarb,1,
Orkh,1,
Osge,1,
Osma,1,
Hmng,1,
Palm,1,
Phnx,1,
Phlp,1,
Rjng,1,
Runr,1,
Samr,1,
Saur,1,
Shrd,1,
Shaw,1,
Sidd,1,
Sogd,1,
Sora,1,
Soyo,1,
Sund,1,
Sylo,1,
Tglg,1,
Tagb,1,
Tale,1,
Lana,1,
Takr,1,
Tnsa,1,
Thaa,1,
Tirh,1,
Ugar,1,
Vaii,1,
Wcho,1,
Wara,1,
Zanb,1,
Ahom,1,
Dogr,1,
Maka,1,
Hmnp,1,
Ougr,1,
Tang,1,
Tibt,1,
Toto,1,
Yezi,1,
